"filename","title","description","feature","topic","role","level"
"./help/api-reference/offers-api/collections/update.md","Update collections","Collections are subsets of offers based on predefined conditions defined by a marketer, such as category of the offer.","","API guide","",""
"./help/api-reference/offers-api/collections/delete.md","Delete a collection","Collections are subsets of offers based on predefined conditions defined by a marketer, such as category of the offer.","","API guide","",""
"./help/api-reference/offers-api/fallback-offers/list.md","List fallback offers","A fallback offer is sent to customers if they are not eligible for other offers","","API guide","",""
"./help/api-reference/offers-api/fallback-offers/lookup.md","lookup fallback offers","A fallback offer is sent to customers if they are not eligible for other offers","","API guide","",""
"./help/api-reference/offers-api/fallback-offers/create.md","Create a fallback offer","A fallback offer is sent to customers if they are not eligible for other offers","","API guide","",""
"./help/api-reference/offers-api/fallback-offers/update.md","Update a fallback offer","A fallback offer is sent to customers if they are not eligible for other offers","","API guide","",""
"./help/api-reference/offers-api/fallback-offers/delete.md","Delete a fallback offer","A fallback offer is sent to customers if they are not eligible for other offers","","API guide","",""
"./help/api-reference/activities-api/activities/list.md","List activities","An activity contains the logic that informs the selection of an offer.","","API guide","",""
"./help/api-reference/activities-api/activities/lookup.md","List activities","An activity contains the logic that informs the selection of an offer.","","API guide","",""
"./help/api-reference/activities-api/activities/create.md","Create activities","An activity contains the logic that informs the selection of an offer.","","API guide","",""
"./help/api-reference/activities-api/activities/update.md","Update activities","An activity contains the logic that informs the selection of an offer.","","API guide","",""
"./help/api-reference/activities-api/activities/delete.md","Delete activities","An activity contains the logic that informs the selection of an offer.","","API guide","",""
"./help/api-reference/decisions-api/deliver-offers.md","Deliver offers","Offer Decisioning is a collection of services and UI programs that enables marketers to create and deliver end-user personalized offer experiences across channels and applications using business logic and decision rules.","","API guide","",""
"./help/api-reference/web-sdk.md","Adobe Experience Platform Web SDK","The Adobe Experience Platform Web SDK allows you to retrieve and render personalized offers that you have created using APIs or the Offer Library.","","API guide","",""
